banker_name,co_code,company_name,bnkhist_date
AXIS BANK LTD.,183396,3P LAND HOLDINGS LTD.,31-03-2020
AXIS BANK LTD.,218767,52 WEEKS ENTERTAINMENT LTD.,31-03-2020
AXIS BANK LTD.,73119,63 MOONS TECHNOLOGIES LTD.,31-03-2020
AXIS BANK LTD.,21420,A B B INDIA LTD.,31-12-2019
AXIS BANK LTD.,568730,A K M LACE & EMBROTEX LTD.,31-03-2020
AXIS BANK LTD.,183399,A M J LAND HOLDINGS LTD.,31-03-2020
AXIS BANK LTD.,560307,A S L INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,181866,AAGAM CAPITAL LTD.,31-03-2020
AXIS BANK LTD.,3998,AARTI INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,441726,AAVAS FINANCIERS LTD.,31-03-2020
AXIS BANK LTD.,4253,ABAN OFFSHORE LTD.,31-03-2020
AXIS BANK LTD.,556991,ACCURACY SHIPPING LTD.,31-03-2020
AXIS BANK LTD.,86597,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,31-03-2020
AXIS BANK LTD.,6916,ADVANI HOTELS & RESORTS (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,511742,AFFORDABLE ROBOTIC & AUTOMATION LTD.,31-03-2020
AXIS BANK LTD.,399322,AGRO PHOS (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,389400,AIRO LAM LTD.,31-03-2020
AXIS BANK LTD.,393826,ALEMBIC PHARMACEUTICALS LTD.,31-03-2020
AXIS BANK LTD.,11063,ALLCARGO LOGISTICS LTD.,31-03-2020
AXIS BANK LTD.,11654,ALORA TRADING CO. LTD.,31-03-2020
AXIS BANK LTD.,12258,AMAL LTD.,31-03-2020
AXIS BANK LTD.,13029,AMBIKA COTTON MILLS LTD.,31-03-2020
AXIS BANK LTD.,13188,AMCO INDIA LTD.,31-03-2020
AXIS BANK LTD.,575190,ANI INTEGRATED SERVICES LTD.,31-03-2020
AXIS BANK LTD.,18151,APOLLO TYRES LTD.,31-03-2020
AXIS BANK LTD.,19230,ARDI INVESTMENTS & TRDG. CO. LTD.,31-03-2020
AXIS BANK LTD.,19297,ARFIN INDIA LTD.,31-03-2020
AXIS BANK LTD.,19420,ARIES AGRO LTD.,31-03-2020
AXIS BANK LTD.,96640,ARSHIYA LTD.,31-03-2020
AXIS BANK LTD.,43634,ARUNJYOTI BIO VENTURES LTD.,31-03-2020
AXIS BANK LTD.,21231,ARYAN SHARE & STOCK BROKERS LTD.,31-03-2020
AXIS BANK LTD.,21283,ASAHI INDIA GLASS LTD.,31-03-2020
AXIS BANK LTD.,21707,ASHIMA LTD.,31-03-2020
AXIS BANK LTD.,22104,ASHOK LEYLAND LTD.,31-03-2020
AXIS BANK LTD.,22247,ASHOKA BUILDCON LTD.,31-03-2020
AXIS BANK LTD.,22819,ASIAN HOTELS (NORTH) LTD.,31-03-2020
AXIS BANK LTD.,106814,ATHARV ENTERPRISES LTD.,31-03-2020
AXIS BANK LTD.,24381,ATUL LTD.,31-03-2020
AXIS BANK LTD.,352048,AURIONPRO SOLUTIONS LTD.,31-03-2020
AXIS BANK LTD.,237751,AUTHUM INVESTMENT & INFRASTRUCTURE LTD.,31-03-2020
AXIS BANK LTD.,25021,AUTORIDERS INTERNATIONAL LTD.,31-03-2020
AXIS BANK LTD.,29279,B C L ENTERPRISES LTD.,31-03-2020
AXIS BANK LTD.,28929,BAJAJ GLOBAL LTD.,31-03-2020
AXIS BANK LTD.,30785,BARON INFOTECH LTD.,31-03-2020
AXIS BANK LTD.,559208,BETA DRUGS LTD.,31-03-2020
AXIS BANK LTD.,33867,BHARAT PARENTERALS LTD.,31-03-2020
AXIS BANK LTD.,34267,BHASKAR AGROCHEMICALS LTD.,31-03-2020
AXIS BANK LTD.,35984,BINNY LTD.,31-03-2020
AXIS BANK LTD.,592694,BIRLA TYRES LTD.,31-03-2020
AXIS BANK LTD.,36905,BLUE CHIP TEX INDS. LTD.,31-03-2020
AXIS BANK LTD.,150059,BOMBAY RAYON FASHIONS LTD.,31-03-2020
AXIS BANK LTD.,38033,BOSTON LEASING & FINANCE LTD.,31-03-2020
AXIS BANK LTD.,126870,BRIGHTCOM GROUP LTD.,31-03-2020
AXIS BANK LTD.,42168,C H D DEVELOPERS LTD.,31-03-2020
AXIS BANK LTD.,59315,CAMEX LTD.,31-03-2020
AXIS BANK LTD.,484741,CANOPY FINANCE LTD.,31-03-2020
AXIS BANK LTD.,42217,CAPITAL TRADE LINKS LTD.,31-03-2020
AXIS BANK LTD.,43062,CATVISION LTD.,31-03-2020
AXIS BANK LTD.,43155,CEAT LTD.,31-03-2020
AXIS BANK LTD.,356235,CHANDRA BHAGAT PHARMA LTD.,31-03-2020
AXIS BANK LTD.,396238,CHEMFAB ALKALIS LTD.,31-03-2020
AXIS BANK LTD.,45833,CHEMO-PHARMA LABORATORIES LTD.,31-03-2020
AXIS BANK LTD.,47790,CINDRELLA FINANCIAL SERVICES LTD.,31-03-2020
AXIS BANK LTD.,47792,CINDRELLA HOTELS LTD.,31-03-2020
AXIS BANK LTD.,50293,CONFIDENCE FINANCE & TRDG. LTD.,31-03-2020
AXIS BANK LTD.,109829,CONSOLIDATED FINVEST & HOLDINGS LTD.,31-03-2020
AXIS BANK LTD.,50616,CONTAINER CORPN. OF INDIA LTD.,31-03-2020
AXIS BANK LTD.,51925,CRAVATEX LTD.,31-03-2020
AXIS BANK LTD.,211592,CREDITACCESS GRAMEEN LTD.,31-03-2020
AXIS BANK LTD.,52787,CUBEX TUBINGS LTD.,31-03-2020
AXIS BANK LTD.,53291,D B (INTERNATIONAL) STOCK BROKERS LTD.,31-03-2020
