symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,binary,nskew,duvol,ic_binary,ic_nskew,ic_duvol,roa,levarage,nic_prod_code
SBIN.NS,STATE BANK OF INDIA,11,20 MICRONS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.344539192,-0.402177841,0,0.585926642,0.06029263,4.3457,0.982,8
SBIN.NS,STATE BANK OF INDIA,11,20 MICRONS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.959434809,-0.773407173,0,0.585926642,0.06029263,4.3457,0.982,8
SBIN.NS,STATE BANK OF INDIA,576805,A & M JUMBO BAGS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,0.073355562,0.002805959,0,-0.086050583,0.109125005,6.8627,0.0737,22
SBIN.NS,STATE BANK OF INDIA,576805,A & M JUMBO BAGS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.088345772,0.134083763,0,-0.086050583,0.109125005,6.8627,0.0737,22
SBIN.NS,STATE BANK OF INDIA,389178,A 2 Z INFRA ENGG. LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.858649851,-0.164699322,0,0.025376441,-0.099377343,-6.1368,1.4573,71
SBIN.NS,STATE BANK OF INDIA,389178,A 2 Z INFRA ENGG. LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.74206777,-0.153449289,0,0.025376441,-0.099377343,-6.1368,1.4573,71
SBIN.NS,STATE BANK OF INDIA,289,A B C INDIA LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.360486252,-0.04036334,0,-0.129804483,-0.278424631,-11.5981,0.9832,52
SBIN.NS,STATE BANK OF INDIA,289,A B C INDIA LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.067907787,-0.121476875,0,-0.129804483,-0.278424631,-11.5981,0.9832,52
SBIN.NS,STATE BANK OF INDIA,783,A D F FOODS LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,0.285162695,-0.163277329,0,-0.649315908,-0.578205264,9.3569,0.015,10
SBIN.NS,STATE BANK OF INDIA,783,A D F FOODS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.069274696,-0.302315003,0,-0.649315908,-0.578205264,9.3569,0.015,10
SBIN.NS,STATE BANK OF INDIA,1144,A INFRASTRUCTURE LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.548432476,0.777804069,0,0.130310849,0.435328927,0.0442,2.331,23
SBIN.NS,STATE BANK OF INDIA,1144,A INFRASTRUCTURE LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.022852193,-0.960124457,0,0.130310849,0.435328927,0.0442,2.331,23
SBIN.NS,STATE BANK OF INDIA,373258,A M D INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.961065755,-0.729341853,0,0.290633172,-0.00064411,-0.1895,0.5892,22
SBIN.NS,STATE BANK OF INDIA,373258,A M D INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.24549505,-0.147447595,0,0.290633172,-0.00064411,-0.1895,0.5892,22
SBIN.NS,STATE BANK OF INDIA,35548,A P L APOLLO TUBES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.466817255,-0.312390529,0,-1.186458935,-1.018037583,5.5352,0.8154,24
SBIN.NS,STATE BANK OF INDIA,35548,A P L APOLLO TUBES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.370633412,-0.394845308,0,-1.186458935,-1.018037583,5.5352,0.8154,24
SBIN.NS,STATE BANK OF INDIA,370768,A R S S INFRASTRUCTURE PROJECTS LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,-0.217102266,-0.290468653,0,-0.602926545,-0.423263439,2.3397,39.832,42
SBIN.NS,STATE BANK OF INDIA,370768,A R S S INFRASTRUCTURE PROJECTS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,0.305780632,0.333178965,0,-0.602926545,-0.423263439,2.3397,39.832,42
