,index,co_code,company_name,co_stkdate,nse_closing_price,nse_returns
0,41393,11,20 MICRONS LTD.,2019-01-01,44.25,1.05
1,41394,11,20 MICRONS LTD.,2019-01-02,44.05,1.0
2,41395,11,20 MICRONS LTD.,2019-01-03,43.45,0.99
3,41396,11,20 MICRONS LTD.,2019-01-04,42.25,0.97
4,41397,11,20 MICRONS LTD.,2019-01-07,42.65,1.01
5,41398,11,20 MICRONS LTD.,2019-01-08,42.5,1.0
6,41399,11,20 MICRONS LTD.,2019-01-09,42.05,0.99
7,41400,11,20 MICRONS LTD.,2019-01-10,41.95,1.0
8,41401,11,20 MICRONS LTD.,2019-01-11,41.85,1.0
9,41402,11,20 MICRONS LTD.,2019-01-14,41.85,1.0
10,41403,11,20 MICRONS LTD.,2019-01-15,41.85,1.0
11,41404,11,20 MICRONS LTD.,2019-01-16,41.75,1.0
12,41405,11,20 MICRONS LTD.,2019-01-17,41.5,0.99
13,41406,11,20 MICRONS LTD.,2019-01-18,41.7,1.0
14,41407,11,20 MICRONS LTD.,2019-01-21,41.3,0.99
15,41408,11,20 MICRONS LTD.,2019-01-22,40.7,0.99
16,41409,11,20 MICRONS LTD.,2019-01-23,40.95,1.01
17,41410,11,20 MICRONS LTD.,2019-01-24,39.75,0.97
18,41411,11,20 MICRONS LTD.,2019-01-25,39.05,0.98
19,41412,11,20 MICRONS LTD.,2019-01-28,36.9,0.94
20,41413,11,20 MICRONS LTD.,2019-01-29,37.8,1.02
21,41414,11,20 MICRONS LTD.,2019-01-30,38.0,1.01
22,41415,11,20 MICRONS LTD.,2019-01-31,37.05,0.97
23,41416,11,20 MICRONS LTD.,2019-02-01,38.0,1.03
24,41417,11,20 MICRONS LTD.,2019-02-04,37.45,0.99
25,41418,11,20 MICRONS LTD.,2019-02-05,37.3,1.0
26,41419,11,20 MICRONS LTD.,2019-02-06,36.6,0.98
27,41420,11,20 MICRONS LTD.,2019-02-07,37.1,1.01
28,41421,11,20 MICRONS LTD.,2019-02-08,35.9,0.97
29,41422,11,20 MICRONS LTD.,2019-02-11,33.4,0.93
30,41423,11,20 MICRONS LTD.,2019-02-12,32.95,0.99
31,41424,11,20 MICRONS LTD.,2019-02-13,34.0,1.03
32,41425,11,20 MICRONS LTD.,2019-02-14,33.8,0.99
33,41426,11,20 MICRONS LTD.,2019-02-15,33.35,0.99
34,41427,11,20 MICRONS LTD.,2019-02-18,33.55,1.01
35,41428,11,20 MICRONS LTD.,2019-02-19,34.0,1.01
36,41429,11,20 MICRONS LTD.,2019-02-20,34.95,1.03
37,41430,11,20 MICRONS LTD.,2019-02-21,34.55,0.99
38,41431,11,20 MICRONS LTD.,2019-02-22,34.65,1.0
39,41432,11,20 MICRONS LTD.,2019-02-25,35.9,1.04
40,41433,11,20 MICRONS LTD.,2019-02-26,35.1,0.98
41,41434,11,20 MICRONS LTD.,2019-02-27,34.85,0.99
